_
-0.014425366979526255	-0.8299850899941484	-0.5813755836437574	0.3518958727192589	1.0955673975557743	-0.9183524347822752	0.370154996691747	0.9022883448003354	-1.0110148706061637
_
-0.010713984706425497	-0.8378808076647339	-0.5616132605566239	0.33581678465574094	1.1129621625485413	-0.8978187337595699	0.4210530725177159	0.906561081671019	-1.0274852737597377
_
-0.01697866182824772	-0.8354976817506148	-0.5412911079668342	0.337831088300112	1.1486086449276947	-0.8891644749203386	0.469578340654945	0.9105924244481699	-1.0402457576756572
_
-0.01998696866683918	-0.8348168677250477	-0.5213505741515081	0.33725687385512976	1.1850017414383063	-0.885125999268686	0.5231039562948115	0.9139698030665176	-1.0535785927459906
_
-0.021368806358331677	-0.838858884927419	-0.5027020877684618	0.33251423830100524	1.2169380271885124	-0.881900587556232	0.5780986442154339	0.9156237828541423	-1.0656548889935966
_
-10.471200776678943	-3.995302402223473	-10.563413911599932	0.0028352208271858843	-0.0003410315652666398	0.005772468026096798	-0.0018492158456964109	0.0012820322476743465	0.00423114170756239	2.827080074063784	0.00021135659432088005	0.002595736061714209	-0.0003495602799284084	17.379049086711973	8.690571932150194	0.0002000192933888996	-0.0019772372682263202	0.0009414746239598413
_
-4.080600039106439	-4.728339444044628	-9.142658240791746	-0.04156331228175505	-0.15454952042211667	0.046078184208568476	0.4953627478117256	0.10096597001952078	0.019175776316675445	1.5701111755013673	0.17077549573684653	-0.267381804614979	0.6807082288916856	15.435882295682239	8.314722365081114	-1.2261526337272257	-0.45540531718459654	0.054130533075603504
